,Country,x,y
0,Algeria,-103,233
1,Angola,23,-125
2,Benin,-98,70
3,Botswana,85,-211
4,Burkina Faso,-146,90
5,Burundi,142,-56
6,Cabo Verde,-318,122
7,Cameroon,-2,28
8,Central African Republic,54,41
9,Chad,38,120
10,Comoros,257,-125
11,Congo Republic,5,-25
12,Democratic Republic of Congo,75,-64
13,Ivory Coast,-187,48
14,Djibouti,252,78
15,Egypt,120,225
16,Equatorial Guinea,-53,3
17,Eritrea,207,118
18,Eswatini,157,-262
19,Ethiopia,216,58
20,Gabon,-25,-35
21,Gambia,-253,88
22,Ghana,-134,37
23,Guinea,-208,72
24,Guinea Bissau,-254,76
25,Kenya,207,-5
26,Lesotho,130,-289
27,Liberia,-197,31
28,Libya,29,230
29,Madagascar,291,-188
30,Malawi,174,-131
31,Mali,-140,150
32,Mauritania,-211,150
33,Mauritius,355,-205
34,Morocco,-171,267
35,Mozambique,191,-197
36,Namibia,26,-229
37,Niger,-40,146
38,Nigeria,-62,57
39,Rwanda,141,-43
40,Sao Tome and Principe,-68,-24
41,Senegal,-239,108
42,Seychelles,340,-51
43,Sierra Leone,-239,48
44,Somalia,267,9
45,South Africa,90,-303
46,South Sudan,146,38
47,Sudan,146,106
48,Tanzania,197,-90
49,Togo,-113,48
50,Tunisia,-37,302
51,Uganda,161,-16
52,Zambia,103,-151
53,Zimbabwe,151,-179
